run,along-step-neutral,along-step-uniform-msc,annihil-2-gamma,brems-rel,brems-sb,conv-bethe-heitler,extend-from-primaries,extend-from-secondaries,geo-boundary,initialize-tracks,ioni-moller-bhabha,photoel-livermore,physics-discrete-select,pre-step,scat-klein-nishina,scat-rayleigh,tracking-cut,setup,total
0,7.551320409999986,24.247446107000023,0.02734882800000005,0.023291691000000034,0.1589673590000002,0.07368818000000019,0.027546162000000027,0.11019880100000015,1.0297590570000015,1.5595368069999993,0.06522810299999997,0.1346768110000001,0.059815158999999986,0.07086925399999995,0.11196636899999995,0.03600626299999997,0.012321750000000012,44.581382002,35.338243663
1,7.26988273099999,21.404364185000006,0.02134474600000001,0.017194567000000004,0.14631291000000007,0.064450642,0.018744515000000014,0.07966826300000007,1.039498714999998,1.502645531000001,0.05498614699999998,0.12322087299999991,0.051369064,0.05473361500000002,0.10492685599999974,0.029989466999999978,0.008461861000000003,44.629201149,32.018775932
2,7.326464117000001,22.466129993000003,0.021883897999999992,0.016998016000000008,0.14570980599999991,0.06442093800000005,0.01916610299999998,0.08148805200000003,1.026895308000001,1.5054784919999993,0.05597649999999998,0.12344206299999996,0.05281708799999996,0.05550814500000002,0.10604079999999987,0.03015275900000001,0.008746108,44.415855836,33.134981282
3,6.9689155059999965,22.495646430000026,0.02139129799999999,0.017374040999999972,0.1440167910000005,0.06416750199999996,0.019327230999999997,0.08149680599999994,0.9924819959999999,1.4710147149999986,0.054580606,0.12294367999999999,0.051444298999999916,0.05592081999999999,0.10951282700000008,0.029763003999999982,0.008689884999999994,44.570476215,32.73654863
4,7.25122747600001,24.166148569999972,0.02303882999999997,0.018695356000000014,0.14824976500000006,0.07091466799999989,0.022338318999999978,0.09178065399999992,1.0279256779999981,1.485147847000002,0.06100554700000004,0.12619599899999995,0.05654767800000001,0.06226473999999992,0.10774690299999984,0.03122364900000003,0.010053657999999983,44.435750783,34.791765473
5,7.620029043000011,22.806770281000034,0.024653597,0.020331006000000013,0.1513404930000002,0.06848393200000008,0.02559347900000004,0.10309397300000003,1.0561028050000016,1.5346946830000021,0.06145613899999999,0.1304312549999996,0.057390235999999935,0.06658158400000011,0.10899137000000014,0.033565759,0.011520897999999976,44.333628619,33.916633288
6,6.906543375000006,21.64926252799997,0.022310980000000005,0.017362046999999964,0.14566406100000007,0.065316368,0.02023913900000002,0.08466346200000001,0.9584229740000002,1.472439902999997,0.060050555000000054,0.12507967999999992,0.051933507999999996,0.05831703899999992,0.1054344260000001,0.03065619700000001,0.009108522999999997,44.570538892,31.811781061
7,6.975008905999999,22.571584022000064,0.021942483000000016,0.016355429999999987,0.14558915800000005,0.06458703100000006,0.019811300000000035,0.08427997400000006,0.9583326370000006,1.473027818999997,0.055542592999999967,0.1240180739999999,0.0529965410000001,0.05622312700000004,0.10508926999999994,0.030083537000000007,0.009012568999999996,44.430006252,32.791702336
8,7.025936299999995,21.658646385999997,0.020627121000000005,0.016267681000000003,0.14369873299999983,0.06387345900000001,0.016579975000000007,0.07233236399999995,1.0161890119999988,1.4861109490000024,0.050317860000000006,0.12218572000000004,0.04760453500000008,0.05148307400000003,0.10526030399999992,0.028828474999999975,0.007723477999999998,44.663933141,31.958183706
9,7.227401877999988,24.207679746999965,0.024203507000000013,0.01928082000000003,0.15121282499999972,0.06820335,0.025144103000000032,0.10115323599999994,1.0424904920000035,1.5001907900000024,0.058215439999999924,0.12911028899999966,0.05874525200000001,0.06450774199999992,0.10905288900000007,0.032762977000000006,0.011289560000000013,44.863111512,34.865582537
