run,absorption,along-step,boundary-init,boundary-post,discrete-select,locate-vacancies,pre-step,primary-generate,rayleigh,surface-physics,tracking-cut,setup,total
0,0.010323506999999997,3.4088466590000017,1.6786218279999998,0.03530642300000001,0.05571186099999999,0.03978623900000001,0.08535933299999983,0.2470762410000002,0.21241970300000015,0.11725979300000013,0.009726936999999984,0.359526469,5.906102702
1,0.010839268000000004,3.4108232149999966,1.6792114360000012,0.03591495300000003,0.056144991000000054,0.04152727299999999,0.08593658599999993,0.247845569,0.21298806200000012,0.12181565400000009,0.010239380000000003,0.371445357,5.919212882
2,0.010256160000000004,3.4088875750000014,1.678754478,0.035275441,0.05555852299999996,0.03932893299999999,0.08526988600000007,0.24689791699999983,0.2130586370000002,0.117040178,0.009686929000000002,0.350067912,5.905630688
3,0.010078008000000003,3.410092630000002,1.675657527,0.034938356999999996,0.055334397999999965,0.03885224299999996,0.08469870400000014,0.24654730799999988,0.21192789800000006,0.11521154899999997,0.009401433999999997,0.352650016,5.898219388
4,0.010632957999999994,3.4121241869999968,1.6787039069999998,0.03564503200000002,0.05609526199999997,0.04171032599999998,0.08562181099999987,0.2481305729999996,0.2126371880000001,0.11875689999999986,0.00999501899999999,0.355215615,5.915988434
5,0.011020184000000008,3.4130974070000066,1.6794667590000008,0.03617450800000002,0.056550171999999996,0.041810329000000035,0.08645152299999988,0.24828333399999958,0.21336606899999977,0.12185390700000004,0.01039402799999999,0.357383555,5.924563181
6,0.010013913000000001,3.406872563999999,1.6768845349999997,0.034800704999999946,0.05534458499999993,0.03856987500000003,0.08464934199999997,0.24692398999999998,0.2119388090000001,0.11482959299999985,0.009362473000000003,0.355930602,5.89570653
7,0.010284335000000004,3.4104927309999984,1.677370719,0.03522751899999999,0.055652818999999965,0.04007646499999995,0.085221603,0.24696684600000013,0.21237680099999992,0.11698142600000003,0.009702723999999985,0.35563995,5.905956762
8,0.010365680999999995,3.4118571140000022,1.679547181,0.03543602300000005,0.05589887099999994,0.03992150499999999,0.08553229699999998,0.24738613499999995,0.21264863799999997,0.11773587300000007,0.009823552999999999,0.490248994,5.911842646
9,0.010029352,3.4070637099999983,1.6766897670000005,0.03493873600000006,0.05526883499999997,0.03892831099999999,0.084783778,0.24694374400000005,0.21187160699999996,0.11641041800000007,0.009381207999999983,0.505570922,5.89791768
