run,absorption,along-step,boundary-init,boundary-post,discrete-select,locate-vacancies,pre-step,primary-generate,rayleigh,surface-physics,tracking-cut,setup,total
0,0.025381300000000002,10.094796578999995,2.3297894640000014,0.07115437299999998,0.10554604000000009,0.11610025400000006,0.1947744370000001,1.9261226809999994,0.20856348600000021,0.2971133290000001,0.02429968099999998,0.611075267,15.41287142
1,0.025593776999999998,10.100115026000005,2.330984489000004,0.07120185100000005,0.10569870600000028,0.11648577600000004,0.1951736880000001,1.926507255000002,0.20895859699999997,0.29743179899999966,0.024301185999999964,0.616420618,15.421131693
2,0.02538509400000001,10.099606200999995,2.3305420149999985,0.07095622800000008,0.10552177499999978,0.11617464199999991,0.1950382490000001,1.9270152439999995,0.2086667490000001,0.2966005789999995,0.024239949000000007,0.627401451,15.418322413
3,0.02601456099999997,10.10208858300001,2.3322300930000006,0.07169140399999994,0.10630519100000009,0.1186324609999999,0.1964602140000001,1.9304712679999962,0.2095325499999992,0.30036306699999993,0.024989052000000005,0.606074903,15.438222739
4,0.025452000999999988,10.099061013999975,2.330314694999994,0.07112369499999983,0.10561770099999979,0.1171447610000001,0.19552296000000016,1.9273427090000004,0.20876876199999994,0.29684469199999985,0.024375149000000002,0.611606197,15.420349859
5,0.02563824499999997,10.100263376999994,2.329371056,0.07128370600000009,0.10554387400000026,0.11690581099999997,0.1957974400000001,1.9320005089999968,0.20879339700000005,0.2974605269999997,0.02449080500000002,0.614728931,15.426239952
6,0.02535631599999998,10.097232775000009,2.3301204030000053,0.07097102900000006,0.1054992010000002,0.11621687500000007,0.1951107680000001,1.9285069469999967,0.20870163100000014,0.29647829499999995,0.024226697000000002,0.608929378,15.41752153
7,0.025323975000000006,10.097166528000006,2.3297309440000036,0.07090158599999978,0.10541447500000004,0.11573227399999987,0.19492797099999995,1.9295901270000002,0.20877913800000014,0.2962672710000004,0.024160647999999976,0.609545443,15.416608752
8,0.02549958399999995,10.09667029599999,2.330656925999999,0.07123596500000003,0.10533359100000025,0.11550263700000016,0.19574702399999996,1.9336459570000009,0.20902262000000016,0.29678373799999924,0.024227780000000036,0.616201935,15.423123093
9,0.025569718999999956,10.10441502599999,2.331311325000003,0.07126920099999987,0.10592581400000008,0.11699598500000012,0.19550161400000038,1.928080375000002,0.20926946300000032,0.2979552649999997,0.024445950999999994,0.610036466,15.429712941
