run,along-step-neutral,along-step-uniform-msc,annihil-2-gamma,brems-rel,brems-sb,conv-bethe-heitler,extend-from-primaries,extend-from-secondaries,geo-boundary,initialize-tracks,ioni-moller-bhabha,photoel-livermore,physics-discrete-select,pre-step,scat-klein-nishina,scat-rayleigh,tracking-cut,setup,total
0,7.184608838999999,22.96832705400004,0.013658208000000019,0.014797906999999999,0.02333251199999996,0.016331707999999997,0.026502664999999974,0.14607609800000027,0.9677005039999997,1.4444563469999991,0.020000416000000028,0.03372732400000003,0.024990475999999956,0.05363776400000005,0.018676583999999965,0.01753544499999999,0.011697883999999987,44.700189728,33.02236967
1,7.250418386000007,20.67476005699997,0.010745784000000033,0.011279472999999993,0.02010557999999997,0.01335153299999998,0.02004593099999998,0.12396632000000012,0.9806963089999999,1.4559042850000004,0.017120714,0.02949453799999998,0.021910464000000025,0.04433813399999999,0.015144212000000006,0.014469540999999997,0.009027886000000008,44.372622672,30.741129004
2,7.075666631000014,21.210381155000007,0.010555137999999993,0.011077547999999996,0.02046023299999998,0.013007589999999986,0.01925024899999998,0.12196862099999997,0.9841628750000009,1.4825264310000001,0.016676954999999997,0.030418546999999994,0.021391639,0.043333069,0.015367065999999999,0.014255120999999982,0.008640878000000001,44.485469029,31.126606148
3,7.588414110000016,20.952814533000005,0.010623741000000011,0.011065661999999993,0.020923034000000014,0.013123301,0.01948298699999999,0.1222685149999998,1.0785246179999994,1.5016997999999995,0.016595830999999995,0.030412688999999993,0.021344474999999988,0.04454228399999999,0.015459848000000007,0.014492406,0.008891942999999998,44.919536484,31.498343984
4,7.576377526000008,20.573066979999997,0.00969858000000001,0.010520313999999989,0.019998885999999983,0.012084283999999992,0.017382418000000014,0.11418954499999992,1.1067099959999982,1.540590877000002,0.015144846999999984,0.029972087999999956,0.019899824000000028,0.04078892799999999,0.014748944000000005,0.013283154,0.008025938,44.427370293,31.147951966
5,7.438048376000002,21.341291623000036,0.012543803000000029,0.01314013599999998,0.021730309000000007,0.014853921,0.02343138600000001,0.13604090399999996,1.0445737359999991,1.469867962000004,0.018776869000000012,0.03199826199999996,0.02382184500000001,0.050729154000000005,0.017433281999999984,0.016182731000000013,0.010603957000000013,44.657496166,31.717726393
6,7.497175898000004,21.523719694999976,0.010296655999999996,0.011440012000000012,0.020334681999999972,0.012890972,0.018652522000000015,0.12392412599999987,1.096905330000003,1.5163021510000003,0.015945990999999986,0.03027667199999998,0.02079089700000002,0.042388606999999946,0.01510085200000001,0.013929301999999992,0.008493227999999993,44.544102009,32.005566565
7,7.323750948000007,21.274888357000034,0.010157501000000003,0.010895833000000002,0.019959342000000033,0.012554130000000014,0.018468452000000003,0.11851870500000004,0.9968155680000006,1.4437548930000013,0.016051515000000006,0.02999224399999999,0.020741952999999994,0.04285199599999998,0.014787732999999997,0.013847610000000012,0.008288556000000008,44.765935664,31.402882574
8,7.201029022000007,21.266226643000028,0.010226548,0.010839262,0.019803628999999986,0.012654478000000002,0.01866471900000002,0.11831808099999992,0.9999102550000012,1.4694996010000003,0.015575598999999985,0.029864908999999964,0.020289204000000016,0.04258216300000004,0.015082231000000003,0.013791373000000015,0.008490448000000006,44.986198622,31.299673079
9,7.392543110999997,20.190696853999988,0.010378413000000008,0.010849962,0.019862038,0.012735293000000003,0.019063568999999968,0.11886272000000014,1.0268108689999977,1.4574021440000005,0.015856139999999994,0.02946050299999999,0.020722919999999954,0.04333037899999999,0.014901899000000024,0.01415670399999999,0.008571525999999996,44.476721305,30.433315807
