run,absorption,along-step,boundary-init,boundary-post,discrete-select,locate-vacancies,pre-step,primary-generate,rayleigh,surface-physics,tracking-cut,setup,total
0,0.008742024000000008,2.1458880470000006,1.0523243680000014,0.028668620000000013,0.31737900799999996,0.040627408000000004,0.19495354400000026,0.24658667299999978,5.397506117000003,0.1041883269999999,0.008235916000000005,0.412148747,9.550873629
1,0.009185777000000003,2.1522538989999966,1.0541247649999996,0.02925457500000004,0.31798273499999963,0.042024952000000046,0.19592426200000013,0.24737295199999998,5.398959032000005,0.10716178000000007,0.00868792699999999,0.408637546,9.568898145
2,0.008907476999999995,2.1466571630000035,1.0525494500000019,0.02880478699999998,0.31754247199999985,0.041019149,0.19513099999999994,0.24711963500000006,5.398846294,0.104714501,0.008338784000000005,0.413596759,9.555461259
3,0.008922320999999997,2.1467607160000015,1.0532285460000002,0.028922006999999965,0.3176681000000006,0.04145790099999994,0.19543292600000015,0.247072757,5.397744631,0.10521703299999993,0.008369582999999991,0.407324725,9.556583818
4,0.008715903,2.1467611079999993,1.0515819739999994,0.028685794999999983,0.31726651200000017,0.040447702,0.19499632299999978,0.24692660299999994,5.396002051999994,0.10408905099999988,0.008213893000000002,0.41024681,9.549377546
5,0.008743559,2.1466348359999943,1.0521730739999993,0.028647795999999982,0.31744942099999995,0.040493016999999965,0.19490926700000005,0.24664833900000013,5.398205894,0.10389118500000004,0.008187646999999998,0.408447995,9.551675726
6,0.008909655999999991,2.145275820999997,1.0531012769999981,0.028887180999999998,0.3176568699999992,0.040911822000000014,0.19516369499999972,0.2466806830000003,5.397487381999993,0.105166236,0.008377652999999997,0.409478964,9.553464192
7,0.009099956000000001,2.1465977340000015,1.052448555,0.029003450999999965,0.3177170790000002,0.041902810000000006,0.19523359499999995,0.24727719900000023,5.393588359999997,0.10607402999999996,0.008522851000000001,0.411708403,9.553389811
8,0.008956243,2.142796813999998,1.051391741000001,0.028953278000000037,0.3176475030000002,0.04116638400000001,0.19475875199999995,0.24696109899999993,5.392675216000002,0.1052712660000002,0.008432930999999992,0.41360141,9.544834827
9,0.008823058999999994,2.1458936039999963,1.050288389,0.028674236999999988,0.31727411299999947,0.040073719000000035,0.19431110599999987,0.24652654299999974,5.392896594999998,0.10408403200000002,0.008243886999999998,0.411106138,9.542798359
