run,along-step-neutral,along-step-uniform-msc,annihil-2-gamma,brems-rel,brems-sb,conv-bethe-heitler,extend-from-primaries,extend-from-secondaries,geo-boundary,initialize-tracks,ioni-moller-bhabha,photoel-livermore,physics-discrete-select,pre-step,scat-klein-nishina,scat-rayleigh,tracking-cut,setup,total
0,7.422269988000005,20.973429720000052,0.010189039999999996,0.011093337999999979,0.020079415999999992,0.012795913000000004,0.01848057299999997,0.07847635,1.027800063000003,1.4880566139999996,0.015875657000000005,0.030346706999999997,0.02052243599999997,0.04278409199999998,0.014918940000000009,0.013895578000000014,0.008482366000000003,44.537179968,31.236283783
1,7.618802038000015,27.89629296100004,0.01751799000000002,0.019069963999999984,0.02777746599999996,0.02033734799999998,0.03496556899999999,0.13530051900000017,1.1246259810000008,1.5462099669999982,0.025000124999999956,0.03713361199999993,0.030151092000000018,0.06724782300000003,0.022129143999999965,0.021780025999999963,0.015491974000000047,45.907599862,38.706284349
2,7.0703843220000016,20.762086303999975,0.010054397000000003,0.01080294699999999,0.019446453999999985,0.012624225000000006,0.01837734800000002,0.07779497300000002,0.9643282579999992,1.4635087739999997,0.015699682999999985,0.029801441000000005,0.020402061,0.04193538599999999,0.014826807,0.013889409999999987,0.008324577000000001,44.630055629,30.580454436
3,7.303849082999989,22.055633064999974,0.012890065999999992,0.013444191000000015,0.023004718999999983,0.015606259999999983,0.024709099000000016,0.09852469699999993,0.9949109100000018,1.502113995,0.019284599999999975,0.03325651099999999,0.024200428000000006,0.051085352,0.017725933000000013,0.01666556000000001,0.010932849000000001,44.604266998,32.252171477
4,7.551323823999986,21.47861827799999,0.011750321000000015,0.012556903999999992,0.021439167000000016,0.014338397000000006,0.02219969099999999,0.0910123240000001,1.0420505060000027,1.4694173009999982,0.018134878999999993,0.03123884899999999,0.023297592999999988,0.048082724999999965,0.016460275000000014,0.015589102999999993,0.009951797,44.570692494,31.908509415
5,7.6023897789999895,20.910273345000046,0.010335971000000003,0.01115573899999999,0.01991154299999998,0.012818519000000007,0.018849890999999994,0.07933027799999993,1.027643839000001,1.4789465820000005,0.016126797000000012,0.030404176999999966,0.02088405400000001,0.04269617799999994,0.015240961999999978,0.01411939299999999,0.008626259,44.667078885,31.346722725
6,7.450875983000006,22.810823974999984,0.011885843000000009,0.012663514999999992,0.021602151999999993,0.014408501999999974,0.02207657,0.09154761000000008,0.9955903450000012,1.479343905999999,0.018181401000000028,0.0317550869999999,0.023216191000000004,0.048322764000000025,0.016649091000000022,0.015630757000000006,0.009938617999999995,44.593201811,33.105493414
7,7.308465586999995,22.423550134000013,0.012466429000000015,0.013379608000000001,0.022155698999999977,0.014972677999999972,0.02343313399999998,0.09571966799999997,0.9954843619999992,1.4640565460000012,0.018684092999999995,0.03262721499999996,0.023869406999999954,0.05001480300000001,0.01727293199999999,0.016310773000000018,0.010583216000000003,44.941498164,32.575561435
8,7.316157441999996,22.42902837500002,0.01483457699999998,0.01576263799999999,0.024891438999999994,0.017626727000000012,0.02833772100000006,0.11666834599999998,1.0011377980000005,1.5000514679999961,0.021039938000000032,0.034517692999999974,0.026916608000000005,0.05980081399999993,0.01953289500000002,0.018909735999999965,0.013103031999999994,44.047112364,32.697722216
9,7.363574779999996,19.41207725899997,0.009187318999999998,0.009645838000000006,0.018749375999999984,0.011654218,0.01620180199999999,0.06989989300000003,1.0262076280000003,1.5077254190000031,0.014650526000000011,0.02899039300000001,0.019242898999999983,0.03890499900000004,0.01389517400000002,0.012817033999999988,0.007444801999999997,44.542719206,29.604357674
