run,absorption,along-step,boundary-init,boundary-post,discrete-select,locate-vacancies,pre-step,primary-generate,rayleigh,surface-physics,tracking-cut,setup,total
0,0.008627882,2.145931154000001,1.0473585940000003,0.029158735000000015,0.044475127999999996,0.03592079800000002,0.06614006899999997,0.19780076500000007,0.18084433899999997,0.09085652400000004,0.008211815000000003,0.63564916,3.860817752
1,0.009022016000000016,2.1487162210000017,1.049569817,0.02966470400000001,0.04488067599999998,0.037198164,0.06674991899999999,0.19800139699999988,0.18011233499999985,0.09345815799999993,0.008641205999999998,0.633517644,3.871755696
2,0.008568178000000003,2.1471275279999955,1.048610978,0.02915643000000001,0.044443918,0.035243031000000036,0.06607357799999994,0.19738436899999998,0.1796275039999999,0.09071351200000015,0.008181514,0.633665385,3.86062393
3,0.008356822,2.141419424000001,1.044543852,0.028841967000000007,0.04409329399999993,0.03595314899999997,0.06544622700000002,0.19708520800000015,0.17924365299999992,0.08920997199999996,0.007978947000000002,0.636638587,3.847447968
4,0.008744955,2.1482951269999977,1.0492469149999994,0.02935827999999998,0.044606634999999964,0.036365266999999986,0.06631360100000003,0.19736481799999975,0.1797948709999998,0.09176347799999998,0.008336845000000004,0.633257441,3.86579079
5,0.009167746000000008,2.1508550960000017,1.0493567029999997,0.029790472,0.04504596599999997,0.03756465499999998,0.0671688279999999,0.19851234100000018,0.1806023949999999,0.09440789000000009,0.008767767999999997,0.63518194,3.877138736
6,0.00829785700000001,2.1458626990000007,1.0472772360000009,0.028846171999999965,0.04416530300000001,0.03471575399999998,0.0654573259999999,0.19674881199999997,0.1793113650000001,0.08892076399999986,0.007885757,0.634778387,3.852793383
7,0.008568317,2.145523500000002,1.045815427000002,0.02911315500000001,0.04440444099999992,0.035562000000000024,0.065726761,0.19715151500000005,0.17952874699999985,0.09043100400000004,0.008202572000000005,0.639232056,3.855459857
8,0.008674000999999994,2.143416747999999,1.0464143479999999,0.02928096299999999,0.04455632400000001,0.035733143999999994,0.065934679,0.19736149600000008,0.179757792,0.09092094099999999,0.008232101999999998,0.631380617,3.855752589
9,0.008084147000000005,2.143232512000002,1.0460278509999992,0.028599240999999984,0.043587421999999994,0.03431786600000005,0.06502334899999992,0.1959461880000002,0.17897965899999996,0.08874447700000003,0.007679935999999998,0.628078058,3.845303639
