-0.247944, 1.24291
0.840386, 0.263477
0.409715, 0.645837
0.811161, 2.65236
0.562439, 3.5607
-0.253471, 1.06168
-0.931201, 2.50823
0.0670317, 4.55171
-0.231073, 6.05389
0.927216, 4.59491
0.940545, 1.66124
-0.73472, 1.11216
0.655487, 3.27685
-0.0913874, 0.00691445
0.353019, 0.655274
-0.796763, 0.659412
-0.576761, 3.07869
-0.148846, 3.19457
0.0796713, 1.1311
-0.293331, 0.912576
0.387035, 4.40857
-0.19913, 1.26232
0.904438, 2.43835
-0.868666, 1.60309
0.137894, 3.21266
0.429296, 2.67027
0.725014, 1.71011
0.738096, 2.86644
-0.878559, 4.89128
-0.535621, 3.82859
-0.973382, 3.73965
0.77242, 4.47171
-0.158123, 1.59696
0.85316, 2.72076
-0.709312, 1.11223
0.674252, 0.499517
0.563687, 1.0418
-0.0420359, 0.450607
-0.195934, 3.95608
0.244781, 2.57681
0.663636, 5.7231
-0.493973, 4.3974
0.539915, 3.21114
0.374637, 5.34269
0.783063, 2.04773
-0.955736, 3.95191
0.232916, 0.21486
0.471138, 4.23715
-0.888328, 3.16205
0.721235, 2.29153
-0.301774, 3.44881
0.682109, 2.45369
-0.989077, 1.43181
0.240454, 0.922551
-0.819165, 2.90498
0.441166, 5.47793
0.858114, 2.60086
-0.551587, 4.82516
-0.376765, 2.13524
0.606667, 4.36254
-0.124389, 4.81453
0.85412, 5.09248
0.33275, 2.4566
-0.836171, 5.56633
0.71675, 0.129359
0.471275, 1.99562
-0.436703, 5.9543
0.87453, 4.23248
0.902213, 2.25937
0.235964, 0.745768
0.764162, 5.84098
0.892939, 3.68997
-0.271095, 2.63517
0.850718, 0.612868
-0.148122, 5.72639
0.263479, 2.45747
-0.638524, 2.96954
-0.770471, 6.17913
-0.796506, 6.18176
-0.0988957, 1.17468
-0.272518, 6.14686
-0.988681, 5.0088
-0.219611, 5.58438
0.57779, 5.23143
-0.638851, 3.34799
-0.758148, 2.83721
0.975467, 1.62728
-0.269655, 5.27353
-0.41118, 2.04283
-0.589036, 2.94672
-0.867707, 2.68221
-0.982741, 2.80674
0.92846, 0.0487012
-0.728792, 1.05595
-0.00244944, 1.2171
0.856698, 1.20427
-0.404475, 2.52483
0.509588, 5.57621
0.746685, 0.215391
0.30223, 1.53268
-0.450223, 0.182146
0.956127, 5.44476
-0.330215, 2.93302
0.114667, 1.95788
0.765765, 5.59273
-0.396547, 5.51186
0.477929, 0.614992
-0.847224, 1.67476
0.56804, 1.04512
0.167396, 2.41481
-0.688246, 3.77443
-0.0703753, 4.01213
0.504764, 4.7881
0.632398, 3.68291
0.722925, 2.19431
-0.819395, 2.14782
0.690283, 0.737623
-0.00234598, 0.331134
-0.415016, 3.60769
-0.74542, 5.76321
0.294618, 4.70137
0.822987, 4.18806
0.232931, 2.14056
0.808434, 1.8044
-0.149595, 4.89358
0.980042, 2.06121
-0.834701, 6.01697
0.138896, 2.63413
-0.276211, 1.35846
-0.621928, 0.311276
0.539883, 1.44224
0.21014, 3.71084
-0.722556, 1.66485
0.896456, 2.63454
0.775306, 3.78244
0.716517, 3.33394
-0.0404444, 3.2621
-0.927334, 5.73242
0.656202, 2.16946
0.192462, 0.0870464
-0.511853, 5.37816
0.332512, 6.08917
-0.474862, 2.72127
0.687905, 5.92543
-0.234304, 3.74724
0.399311, 2.3456
0.977101, 5.54611
0.320855, 3.52892
-0.101049, 2.56399
0.784273, 0.119635
0.899947, 5.66131
0.0546411, 2.17445
0.375655, 4.03161
-0.518687, 3.0342
-0.313359, 1.70302
-0.0379238, 4.06191
0.992386, 3.36584
0.965639, 0.805632
-0.261849, 3.52249
0.184607, 3.7797
-0.779731, 3.83967
-0.760694, 1.43767
0.804976, 5.43741
0.992302, 3.58339
0.0248887, 0.774933
0.364442, 2.18824
-0.935075, 3.91075
-0.971642, 1.26888
-0.822669, 4.9856
-0.966648, 0.0726226
-0.972576, 4.33925
0.972354, 1.89963
0.993434, 3.81298
0.691827, 0.593542
0.769609, 2.4982
0.271933, 2.67315
