run,absorption,along-step,boundary-init,boundary-post,discrete-select,locate-vacancies,pre-step,primary-generate,rayleigh,surface-physics,tracking-cut,setup,total
0,0.008400077000000004,2.1429652530000016,1.0458216280000014,0.028840233999999992,0.04385261400000007,0.03441159100000001,0.06566236000000004,0.19572426700000015,0.17901929900000013,0.09048578199999996,0.007937081999999991,0.447175088,3.848184839
1,0.008805276999999999,2.145303907999999,1.0468890290000004,0.02933803600000001,0.044225499000000036,0.03632441800000005,0.06603822299999998,0.1967308700000002,0.17951333199999986,0.09310920400000004,0.008310337999999997,0.446107459,3.860000808
2,0.008350298000000016,2.142678680000001,1.0465024210000013,0.028831888000000017,0.04385665899999998,0.03461382700000006,0.06553670999999993,0.19610198099999998,0.17899960599999995,0.09036046300000011,0.007871471999999997,0.445647566,3.848730213
3,0.008144253999999998,2.142299511000001,1.0449275970000003,0.028615200999999993,0.04357114400000001,0.03393291299999998,0.06512376600000012,0.19539277199999994,0.17870489300000025,0.08898660699999993,0.007702550000000002,0.444260754,3.842318419
4,0.008530599999999982,2.1447413019999977,1.0468064700000006,0.02899486000000005,0.043938343000000026,0.03658801999999998,0.06578959899999996,0.1963093179999998,0.17918560099999994,0.091448034,0.008068715,0.44986158,3.855660362
5,0.008975668999999993,2.1498149610000046,1.0481946800000013,0.02947691300000001,0.04441080200000009,0.036604251,0.06645936899999999,0.19657795399999994,0.17987340300000002,0.09421752,0.008501457999999991,0.450419136,3.868511862
6,0.008112562,2.1440646159999974,1.045376328,0.028501204000000016,0.04356505099999998,0.03391168699999999,0.06501469800000001,0.19549800100000012,0.1786314839999998,0.0886460269999999,0.007657405999999999,0.44619712,3.843841963
7,0.008378958999999998,2.1426985669999983,1.0470271820000008,0.028798078999999983,0.043758557999999954,0.03424385699999995,0.06547045599999994,0.19555848900000003,0.1788086659999998,0.09029093400000006,0.007882054999999997,0.44270347,3.848028408
8,0.008449714000000004,2.142791258999997,1.0462632399999983,0.028914443999999963,0.04392329299999998,0.034649261999999945,0.06564688899999996,0.19609460800000023,0.17915513999999988,0.09080716700000002,0.007981919,0.44629458,3.849696943
9,0.008135957,2.141476386000001,1.0453496670000002,0.02852033000000002,0.04357861400000002,0.03393175900000004,0.06506239600000006,0.19533421200000006,0.17865886999999978,0.08891888499999996,0.007671781000000007,0.446509043,3.841610173
