run,absorption,along-step,boundary-init,boundary-post,discrete-select,locate-vacancies,pre-step,primary-generate,rayleigh,surface-physics,tracking-cut,setup,total
0,0.00846454399999999,2.1423302209999995,1.0492560190000002,0.028681536000000025,0.3170354669999995,0.03924975999999997,0.19389052100000023,0.24512642899999995,5.393288848999999,0.10349498300000012,0.007972143999999999,0.587047231,9.534249333
1,0.00895216899999999,2.146022173999999,1.0509594259999984,0.029246571,0.3175857230000002,0.04193885900000003,0.19479517300000007,0.24577321800000004,5.395628127000003,0.10658502800000003,0.008456314999999996,0.592836602,9.551847686
2,0.008599180999999996,2.1435527849999985,1.0500859769999993,0.028741017999999983,0.3171308879999996,0.039954193000000054,0.1940356620000002,0.24541812799999987,5.393024703000004,0.10400204900000001,0.008050604999999997,0.590738076,9.538128469
3,0.008697956999999997,2.1429901449999993,1.0504981410000003,0.028822832999999985,0.31749742299999983,0.04006130399999993,0.19433318200000035,0.24536658800000025,5.394219107000007,0.10444616600000005,0.008134072000000004,0.587727961,9.540819639
4,0.008462523999999997,2.1431444539999975,1.048846202,0.028743035000000007,0.31694241899999964,0.03981663900000003,0.194149336,0.24533415300000005,5.392908238999998,0.10347733399999996,0.007931740999999996,0.590844715,9.535301086
5,0.008431237999999997,2.1451462570000035,1.0514023340000003,0.028630897000000023,0.317181084,0.04034474900000006,0.19444756100000024,0.24526532800000014,5.399932255000003,0.10337579499999998,0.007987006999999997,0.588879601,9.547626475
6,0.008621812999999992,2.1456426769999983,1.0520371360000018,0.028867089000000005,0.3173286510000002,0.040100213999999995,0.19473049999999995,0.24568067000000005,5.400722765999998,0.10455742900000008,0.008136910999999991,0.594082132,9.552136029
7,0.008767913999999996,2.146969827999998,1.0524508899999991,0.029003913000000006,0.31753645800000013,0.04087458700000001,0.1950026160000003,0.24581040000000032,5.397619790000001,0.10554153599999996,0.00826616000000001,0.586844116,9.553630371
8,0.00892743400000001,2.1471113560000004,1.0524940459999994,0.029040874000000036,0.3177918860000004,0.040887523000000016,0.19509059800000028,0.24752850899999998,5.402865978999995,0.10495555900000014,0.008378483999999997,0.593570298,9.560979658
9,0.008467282999999997,2.1467815469999985,1.0512637589999996,0.028636632000000002,0.3171368639999998,0.03964855100000004,0.1944564429999999,0.24496050399999986,5.397380488000001,0.10362376100000001,0.007939349,0.587589851,9.54576959
