run,absorption,along-step,boundary-init,boundary-post,discrete-select,locate-vacancies,pre-step,primary-generate,rayleigh,surface-physics,tracking-cut,setup,total
0,0.1988437099999997,2.685495503999999,1.4223785709999994,0.22175318899999988,1.5828653409999995,0.39481889399999937,1.6335010260000011,1.0946146019999998,15.29276113699999,0.2936975429999998,0.19080815800000026,0.329578957,25.018738301
1,0.1955251290000001,2.7188690519999996,1.4199247210000008,0.21758560899999985,1.6071142400000016,0.3906164370000002,1.683780186999998,1.1209142410000015,15.531351381000002,0.29287765499999985,0.19584457800000016,0.324704636,25.381233592
2,0.24578574900000005,2.873970874000003,1.5352041099999998,0.2674866299999996,1.7192921380000001,0.5089417259999998,1.7789894340000019,1.250638178000001,16.33701211799999,0.3482131529999998,0.24612554799999978,0.326079984,27.118603064
3,0.4454175830000006,3.489950714999999,1.9363461410000027,0.4651657070000002,2.122327505000001,0.9131422069999997,2.1900645880000003,1.6433379619999995,19.251694925000013,0.5431483970000001,0.44180144000000005,0.359054237,33.450040118
4,0.7966554770000002,3.553079521000001,2.1290387420000028,0.8166270069999999,2.29990142,1.5960254260000004,2.358238661000001,1.8310272139999995,17.921814298999966,0.8877708109999995,0.7851567599999998,0.723666047,34.983426396
5,0.3821921630000006,3.28843439,1.7992350370000005,0.3990713839999994,2.0251210939999997,0.7808706269999992,2.073346913000003,1.5546284640000025,18.474188861999995,0.47911483200000077,0.3768927560000005,0.53230668,31.640321468
6,0.009501522999999998,2.1657371010000017,1.0648173440000006,0.029270861999999998,1.2529029540000014,0.04319109899999997,1.3201246429999982,0.7962531389999998,12.912349682999995,0.10336364800000002,0.008521015999999998,0.600513986,19.712409943
7,0.009984631999999986,2.1658805390000007,1.0668661439999985,0.02974928199999999,1.2541892369999998,0.04664451299999994,1.3200061679999993,0.7979548379999998,12.90358039999998,0.104938452,0.008651796999999994,0.594368434,19.714900135
8,0.021652396000000015,2.194528782000002,1.0847333470000005,0.040794991999999995,1.2729837640000004,0.06565261500000004,1.3406123950000008,0.8127845520000008,13.037801470000009,0.11645982999999999,0.019818660000000023,0.600644326,20.014397721
9,0.043221753999999994,2.2651926419999997,1.1272823470000009,0.06288673900000002,1.3172493389999984,0.10686821200000009,1.3815467909999992,0.8497227470000005,13.350605562000002,0.1381960050000001,0.04181688299999999,0.59630817,20.691055486
