run,absorption,along-step,boundary-init,boundary-post,discrete-select,locate-vacancies,pre-step,primary-generate,rayleigh,surface-physics,tracking-cut,setup,total
0,0.008334972000000006,2.1422790559999996,1.045498666000001,0.028816440000000016,0.04393608400000001,0.035142638000000004,0.06697789099999997,0.19600240600000005,0.17931316699999988,0.09027373199999994,0.007927395999999998,0.633064904,3.849605994
1,0.008766965999999996,2.1479697010000014,1.0482572759999977,0.02932084700000001,0.04443500700000008,0.03655636199999998,0.06644364799999998,0.19700098300000018,0.17984691599999997,0.09307655799999996,0.008359064000000001,0.635936155,3.865608832
2,0.008338514000000009,2.146154272000003,1.0477489550000016,0.02884348399999999,0.04401504999999995,0.035121498000000057,0.06577994599999992,0.19623889099999992,0.1792867709999998,0.0902546329999999,0.007881738000000003,0.6285006,3.854809502
3,0.008097113,2.1465125,1.0460079120000005,0.028557845999999998,0.04379412599999999,0.03411874100000002,0.06535232000000003,0.1959039069999999,0.17900166900000034,0.08888111100000001,0.0076875680000000005,0.630093302,3.848922418
4,0.008505010999999998,2.148732588999999,1.0476572519999992,0.029010121999999982,0.04419488599999999,0.03562499800000001,0.06593806300000006,0.19660440500000007,0.1795684970000003,0.09129362199999995,0.008087623000000009,0.630643597,3.860462244
5,0.00890763799999999,2.1512450649999995,1.0485287759999995,0.029479766999999987,0.04465402400000002,0.03732229199999998,0.06683982499999991,0.19698835200000034,0.18023694300000007,0.09397306399999991,0.008472347999999996,0.627753674,3.872156326
6,0.008046077999999988,2.142601304999999,1.0457409860000013,0.028513288999999997,0.04374454299999997,0.033640685999999996,0.06518321200000005,0.19561792100000017,0.17890899799999987,0.08852304200000002,0.0076629120000000035,0.62977854,3.843123052
7,0.008562298,2.142689144,1.0469543450000003,0.029062747,0.04426624599999996,0.03540542900000003,0.06576612900000005,0.19778683299999972,0.17946789399999996,0.09046746200000001,0.008133684000000002,0.646441536,3.854142021
8,0.008399350000000002,2.1429680719999995,1.046374654000001,0.02893805300000002,0.04407311900000002,0.03546134400000003,0.06566419800000009,0.1962517910000002,0.17935927400000004,0.09066346800000002,0.007993938000000006,0.628267632,3.851330417
9,0.008108171999999995,2.1435893530000025,1.0452661150000007,0.028536278999999987,0.043697732999999954,0.034060491,0.06505969300000003,0.1958157910000002,0.17897157300000005,0.08868536800000001,0.0076853469999999926,0.628217103,3.844422191
